"R_0_NGM","b_a","b_p"
2.13872556500631,0,0.795798387126882
2.10849423755146,0,0.923363165543288
2.35027817104236,0.0689655172413793,0.891394895977932
2.27052663798091,0.0689655172413793,0.940248982477715
2.49269768665646,0.103448275862069,0.793227797031236
2.50731023378261,0.137931034482759,0.8785885202124
2.43599120255235,0.137931034482759,0.887037778119812
2.53802998010439,0.172413793103448,0.967796059437562
2.57986328934013,0.206896551724138,0.865690703473383
3.40596075210734,0.241379310344828,0.322087004016681
3.40729234690886,0.275862068965517,0.318349170645743
3.39182677550776,0.344827586206897,0.464887823206509
2.92874637938682,0.344827586206897,0.829137531441103
3.09488693708299,0.344827586206897,0.67660156280143
3.43432583747115,0.344827586206897,0.465434179417501
3.05915648085718,0.379310344827586,0.810139117620506
2.8947857617708,0.448275862068966,0.925221848555758
3.04081169894396,0.448275862068966,0.806294647989952
3.14738911009659,0.448275862068966,0.788003019426312
3.34388319213834,0.482758620689655,0.645290728067556
2.98890482644572,0.482758620689655,0.904270330460413
2.9895890202719,0.517241379310345,0.881790960039323
3.11712887598053,0.517241379310345,0.872621061979463
3.85100163422285,0.551724137931034,0.258877498740212
4.1929871070646,0.586206896551724,0.1400546889273
3.15331339985183,0.655172413793103,0.955907745866957
3.80490735752972,0.689655172413793,0.462037014938493
3.36978047160219,0.793103448275862,0.878944113665681
3.46129861294635,0.862068965517241,0.867465582949067
3.51490133195683,0.862068965517241,0.907587805149122
3.62357606136937,0.862068965517241,0.706164094680958
3.47471311319955,0.896551724137931,0.90871710589319
3.36437073400467,0.96551724137931,0.976218678812398
3.49850066625591,0.96551724137931,0.986547518875655
