"R_0","b_a","b_p"
7.06199875313583,0,0.795798387126882
6.21523667190825,0,0.923363165543288
5.98452066814789,0.0689655172413793,0.891394895977932
6.0988220522765,0.0689655172413793,0.940248982477715
6.84552549221221,0.103448275862069,0.793227797031236
5.90549935739566,0.137931034482759,0.8785885202124
5.52374278712026,0.137931034482759,0.887037778119812
5.24944192715554,0.172413793103448,0.967796059437562
5.38865556017235,0.206896551724138,0.865690703473383
8.12530387078028,0.241379310344828,0.322087004016681
7.43405528638187,0.275862068965517,0.318349170645743
6.32564060232701,0.344827586206897,0.464887823206509
5.0464229785195,0.344827586206897,0.829137531441103
5.37801636520781,0.344827586206897,0.67660156280143
6.61963281699369,0.344827586206897,0.465434179417501
5.04585934590516,0.379310344827586,0.810139117620506
4.12811933293592,0.448275862068966,0.925221848555758
4.4548246790648,0.448275862068966,0.806294647989952
4.69564516205442,0.448275862068966,0.788003019426312
4.89712562307463,0.482758620689655,0.645290728067556
4.0636660919642,0.482758620689655,0.904270330460413
3.98448673589664,0.517241379310345,0.881790960039323
4.21188584148687,0.517241379310345,0.872621061979463
5.77644727796324,0.551724137931034,0.258877498740212
6.17148563737009,0.586206896551724,0.1400546889273
3.55772358522412,0.655172413793103,0.955907745866957
4.93040385730522,0.689655172413793,0.462037014938493
3.44829060074148,0.793103448275862,0.878944113665681
3.32802726070047,0.862068965517241,0.867465582949067
3.35047693946162,0.862068965517241,0.907587805149122
3.66512546960611,0.862068965517241,0.706164094680958
3.23769879748521,0.896551724137931,0.90871710589319
2.92791450622503,0.96551724137931,0.976218678812398
3.08323595113733,0.96551724137931,0.986547518875655
